word,f_ev,f_mv,s_prop
atoomonderzeeër,2,1,1
atoomoorlog,8,1,0
atoomproef,0,2,0
atoomwapen,0,26,1
attaque,21,9,1
attentie,782,11,1
attest,14,1,0
attitude,7,2,1
attractie,92,49,1
attribuut,2,30,0
aubergine,30,10,1
auditie,670,139,1
augurk,57,64,0
aura,63,4,1
aureool,6,4,0
auteur,180,31,1
auteursnaam,0,1,0
auteursrecht,11,5,0
autist,1,4,0
auto,20010,1958,1
auto-ongeluk,264,14,0
auto-ongeval,26,1,0
autobaan,5,1,0
autoband,5,16,0
autobestuurder,0,1,1
autobiografie,34,2,0
autobotsing,0,2,0
autochtoon,3,5,0
autocoureur,9,1,1
autodidact,5,1,0
autodief,36,19,0
autogordel,9,6,1
autokerkhof,12,1,0
automaat,94,25,0
automatiek,6,2,0
automobiel,13,2,0
automobilist,32,21,0
automonteur,25,4,1
autoportier,2,1,1
autopsierapport,34,2,0
autopsieverslag,9,1,0
autorace,9,10,1
autoradio,19,8,1
autorijder,1,1,1
autorit,10,4,0
autoruit,11,2,0
autosleutel,15,197,1
autosnelweg,19,2,0
autoverhuurder,6,2,1
autoweg,39,1,0
autowrak,7,13,0
avance,6,56,1
aviarium,0,1,1
avocado,23,14,1
avond,7893,224,0
avondje,226,10,1
avondcursus,5,1,0
avonddienst,11,2,0
avondeditie,4,1,1
avondjapon,1,3,0
avondjurk,31,5,0
avondklok,165,2,0
avondkrant,5,1,0
avondles,6,4,0
avondlicht,2,1,0
avondmaaltijd,7,1,0
avondschool,54,2,0
avondtoilet,0,1,0
avonduur,0,5,0
avondvoorstelling,2,1,0
avondwandeling,5,3,0
avondwedstrijd,0,1,0
avondwinkel,10,4,1
avonturenfilm,2,1,1
avonturenroman,2,2,1
avonturier,60,34,1
avontuur,710,205,0
avontuurtje,68,29,1
axel,11,1,1
axioma,5,1,1
ayatollah,5,1,1
azalea,4,10,1
b,648,17,1
baadster,0,1,1
baai,185,7,0
baak,4,9,0
baal,0,13,0
baan,6904,373,0
baanbreker,0,1,1
baanrecord,8,2,1
baantjesjager,0,1,1
baanwachter,0,1,1
baard,503,33,0
baardaap,3,1,0
baardhaar,2,3,0
baardman,0,4,1
baardrager,0,4,1
baardvis,0,1,0
baarmoeder,152,1,1
baars,42,5,0
baas,7300,328,0
baasje,110,15,1
baat,101,8,0
babbel,63,10,1
babbeltje,44,2,1
baby,6396,685,1
babysit,30,6,0
babysitter,181,20,1
bacchant,0,1,0
bacil,27,39,0
bacillendrager,2,1,1
bad,1692,119,0
badge,242,25,1
badhanddoek,5,4,0
badhuis,40,2,0
badjas,99,3,0
badkamer,1329,63,1
badkuip,169,15,0
badmeester,30,2,1
badmuts,10,3,0
badpak,113,14,0
badplaats,4,4,0
badzout,8,1,0
bag,0,13,1
bagagekluis,4,1,0
bagagerek,0,1,0
bagageruimte,22,2,1
bagatel,2,1,0
baggerlaars,0,1,0
baggermolen,0,1,1
bajes,185,1,0
bajesklant,42,10,0
bajonet,81,44,0
bak,1683,89,0
bakje,64,13,1
bakbanaan,0,1,0
bakbeest,5,3,0
bakblik,0,1,0
bakboordlicht,0,1,0
baken,177,16,1
bakerpraatje,3,4,1
bakkebaard,1,45,0
bakker,163,11,1
bakkerij,108,4,0
bakoven,0,1,1
baksel,1,2,1
baksteen,78,33,0
bakte,0,2,0
bakvis,8,3,0
balalaika,1,1,1
balans,424,6,0
baldakijn,5,1,0
balein,1,5,0
balg,0,1,0
balie,189,2,1
baljurk,14,5,0
balk,79,55,0
balkondeur,3,1,0
ballade,25,6,1
ballasttank,2,9,1
ballenjongen,0,5,1
ballerina,86,22,1
ballet,259,7,0
balletdanser,13,3,1
balletdanseres,6,2,0
balletgezelschap,5,2,0
balletrokje,1,1,1
balletschoen,0,1,0
balling,10,12,0
ballingsoord,0,1,0
ballpoint,4,1,1
balpen,25,4,0
balschoen,0,1,0
balspel,8,5,0
balustrade,10,2,1
balzaal,62,2,0
balzak,21,3,0
bamboestok,1,1,0
banaan,233,190,0
banaanboom,0,1,0
banaliteit,7,3,0
bananenblad,0,4,0
bandje,351,93,1
bandage,1,2,1
bandelier,1,2,1
bandiet,180,224,0
bandrecorder,34,6,1
banenmarkt,1,1,0
bangerd,18,2,1
bangerik,42,8,0
bangmaker,0,2,1
banier,21,7,0
banjer,0,1,1
banjo,32,1,1
bankje,66,7,1
bankbediende,11,1,0
bankbiljet,12,38,0
bankboekje,3,2,1
bankbrief,1,1,0
bankbriefje,1,1,1
bankcheque,7,3,1
bankdirecteur,33,1,1
bankemployé,1,1,1
banket,129,13,0
bankfiliaal,3,1,0
bankgebouw,6,1,0
bankgeheim,0,1,0
bankier,161,51,1
bankkluis,38,10,0
bankoverval,97,14,0
bankrekening,190,61,0
bankroet,11,1,0
bankroof,47,5,0
bankstel,5,1,0
bankzaak,2,15,0
banneling,13,21,0
baptist,15,13,0
barak,142,80,0
barbaar,82,143,0
barbaarsheid,11,2,0
barbier,22,3,1
barbituraat,1,5,0
barcode,18,4,1
bard,13,4,0
barenswee,0,3,0
baret,33,12,0
bariton,16,2,1
bark,6,1,0
barkeeper,180,12,1
barkruk,13,7,0
barman,255,9,0
barmeid,22,2,0
barmeisje,7,3,1
barn,16,1,1
barracuda,14,3,1
barrel,36,5,1
barrière,50,19,1
barst,103,36,0
bas,76,13,0
basisbeginsel,1,2,0
basisbehoefte,2,5,0
basiscommando,0,1,1
basiselement,0,5,0
basisidee,3,1,0
basisingrediënt,0,1,0
basisopstelling,1,1,0
basisprincipe,8,12,1
basispunt,0,1,0
basisregel,8,23,1
basisschool,87,4,0
basistechniek,1,10,0
basistheorie,1,1,0
basisvaardigheid,0,1,0
basisvoorziening,0,3,0
basket,71,2,1
basketbal,355,12,0
basketbalspeler,16,4,1
bassethoorn,0,1,1
bassist,27,2,0
bastion,20,2,1
bataat,0,1,0
bataljon,189,16,1
bath,0,1,1
bathyscaaf,0,1,0
batik,3,1,1
baton,3,1,1
batsman,3,3,0
batterij,295,322,0
batterijkip,1,1,0
baviaan,72,41,0
bazooka,49,19,1
bazuin,13,7,0
beambte,24,16,0
beat,66,10,1
beatnik,9,4,1
bed,10412,288,0
bedankbrief,4,1,0
bedanking,0,1,0
bedankje,104,18,1
bedbank,5,1,0
beddelaken,0,1,1
bede,11,4,0
bedelaar,111,63,1
bedeltje,6,3,1
bedenker,16,4,1
bedenking,3,55,0
bedenksel,5,4,1
bedevaarder,0,2,1
bedevaart,33,1,0
bedevaartganger,1,3,1
bedgeheim,0,2,0
bedgenote,1,5,0
bedgordijn,1,1,0
bediendenkamer,0,1,1
bediening,123,1,0
bedieningspaneel,10,1,0
bedoeling,1720,316,0
bedoeïen,2,20,0
bedpan,7,1,0
bedpartner,3,4,1
bedrading,112,2,0
bedrag,643,70,0
bedreiging,759,176,0
bedrieger,360,75,1
bedriegerij,13,1,0
bedrijf,3206,706,0
bedrijfseenheid,0,1,0
bedrijfsgegeven,0,2,1
bedrijfsleider,50,2,1
bedrijfsleven,43,1,1
bedrijfstak,18,4,0
bedrijfswinst,0,1,0
bedscène,0,1,1
bedsprei,2,2,0
bedstede,0,1,0
bedtijd,329,1,0
bedzeiltje,0,1,1
beek,148,142,0
beeld,1670,1112,0
beeldhouwer,37,2,1
beeldhouwwerk,10,7,0
beeldlijn,0,1,0
beeldpunt,0,1,0
beeldscherm,14,5,0
beeldspraak,39,1,0
beeldverhaal,0,1,0
beeltenis,34,4,0
been,2339,143,0
beenbeschermer,0,1,1
beenbreuk,8,1,0
beenhouwer,7,2,1
beenkap,0,2,0
beenmergtransplantatie,17,2,1
beenstuk,0,2,0
beenwarmer,0,6,1
beer,979,408,0
beerput,49,2,0
beest,2273,859,0
beestje,116,112,1
beetje,19781,44,1
bef,8,3,0
beflijster,1,1,1
begeleider,103,22,1
begeleidster,10,1,1
beginletter,1,1,1
beginneling,66,20,0
beginner,40,51,1
beginpunt,40,1,0
beginsel,16,16,0
begonia,2,5,1
begraafplaats,283,25,0
begrafenis,1536,114,0
begrafenisonderneming,16,2,0
begrafenisregeling,0,1,0
begrafenisritueel,0,2,0
begrenzing,2,3,0
begrip,610,12,0
begroeting,55,4,0
begroting,31,3,0
beha,177,21,1
behandeling,870,93,0
behanger,7,2,1
beheerder,99,17,1
beheerser,2,4,1
behoeder,0,1,1
behuizing,17,2,0
beige,1,1,1
beignet,5,8,1
beitel,31,4,1
bejaardencentrum,2,1,0
bejaardentehuis,64,5,0
bejaardenwoning,0,2,0
bek,2234,16,0
bekje,1,2,1
bekeerling,2,7,0
bekendheid,69,12,0
bekendmaking,28,2,0
bekentenis,486,49,0
beker,384,85,1
bekering,21,2,0
bekeuring,95,31,0
bekken,81,2,1
beklaagde,35,26,0
bekleder,0,3,1
beklimming,9,1,0
bekommernis,4,1,0
bekoring,65,2,0
bekroning,9,1,0
bekwaamheid,66,10,0
bel,536,23,0
belader,0,2,1
belager,31,22,1
belang,1410,275,0
belangenconflict,6,1,0
belangengroep,2,7,0
belangenorganisatie,0,1,1
belangstelling,268,2,0
belastingaanslag,3,3,0
belastingbetaler,49,28,1
belastingcent,0,12,0
belastingformulier,3,4,0
belastinginner,12,7,1
belastinginspecteur,13,4,1
belastingkantoor,6,1,0
belastingontduiker,2,1,1
belastingregister,2,1,1
belastingvoordeel,8,2,0
belastingwet,3,2,0
belastingzaak,3,1,0
belediging,310,85,0
beleefdheid,151,16,0
beleefdheidsformule,0,1,1
belegering,41,2,0
belegger,7,32,1
belegging,5,17,0
beleggingsfonds,4,2,0
beleggingsmaatschappij,1,2,0
beleidsbepaler,0,1,1
beleidsstuk,0,1,0
belemmering,66,5,0
beletsel,15,2,1
belevenis,27,9,0
belhamel,1,1,1
belichtingstijd,1,1,0
belijdenis,11,1,0
belijder,0,1,1
belle,0,1,1
beloning,937,42,0
bemanning,890,12,0
bemanningslid,39,66,0
bemiddelaar,49,6,1
beminnelijkheid,4,1,0
bemoeienis,38,5,0
benadering,124,2,0
benaming,26,6,0
bendelid,38,72,0
benedenbuur,0,3,0
benedictijn,1,1,0
benefiet,69,1,0
benefietconcert,7,1,0
bengel,6,6,1
benjamin,4,12,1
benoeming,58,4,0
benzinebom,1,2,0
benzinebon,0,7,0
benzinedamp,3,2,0
benzinedepot,3,1,1
benzinepomp,59,6,0
benzinestation,131,21,1
benzinetank,42,5,1
beoefenaar,2,1,1
beoordelaar,3,1,1
beoordeling,101,16,0
beoordelingsfout,11,2,0
bepakking,20,2,0
bepaling,14,12,0
beperking,38,123,0
beproeving,100,45,0
berber,0,8,1
berechting,22,2,0
bereidingstijd,0,1,0
bereidingswijze,0,1,0
berekening,55,156,0
berg,1339,1304,0
bergbeklimmer,18,12,1
bergbewoner,3,4,1
berggeest,1,3,0
berghelling,7,2,0
berghut,10,1,0
bergingsbedrijf,1,2,0
bergingsschip,4,2,0
bergketen,1,13,1
bergkloof,0,1,0
bergkristal,3,1,0
